Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C8",0805,2,10u,C162422
"C13, C15",C_Elec_6.3x7.7,2,100uF,C99837
C16,0805,1,10u,C77075
"C18, C9",0805,2,100nF,C49678
"C2, C6, C7",CP_Elec_6.3x7.7,3,220uF,C2162971
"D1, D5",D_SOD-123,2,1N4148W,C83528
D10,D_SOD-123,1,1N4148W,C82544
"D11, D12, D8",0805,3,LED,C84256
"D13, D9",D_SMA,2,SS14,C2909920
D14,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2843785
D2,D_MiniMELF,1,D_Zener,C181075
"D3, D6",0805,2,LED_RED,C84256
D7,D_SMA,1,SS14,C2480
F1,1812,1,1.1A Polyfuse,C19723490
F2,1812,1,Bypass fuse,C19723490
"J1, PWM1","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",2,5.08-2P-90,C3697
J3,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Conn_01x03_Socket,
J4,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,1Wire,
"K1, K2",Relay_SPDT_Omron-G5LE-1,2,G5LE-1,C30431
"L2, L4",L_Sunlord_SWPA4010S,2,33u,C167885
OPTO1,"PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal",1,Conn_01x03_Pin,1
PORT1,Hirose_DF13C_CL535-0404-8-51_1x04-1MP_P1.25mm_Vertical,1,Conn_01x04_Socket,1
PORT2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
"Q1, Q3, Q5, Q6",SOT-23,4,2N7002K,C65189
Q2,SOT-23_Handsoldering,1,PMOS,C42456992
Q7,TO-252-2,1,40N02,
"R1, R16, R26, R6",0805,4,330,C17630
"R11, R13, R17, R18, R2, R21, R22, R27, R4, R7",0805,10,10k,C17414
"R19, R20, R25",0805,3,2k2,C17520
"R23, R24",0805,2,1k,C95781
"R3, R8",0805,2,2.2k,C17520
R5,0805,1,100k,C149504
"RL1, RL2",JST_NV_B03P-NV_1x03_P5.00mm_Vertical,2,Conn_01x03_Socket,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0,C41364882
U3,SOT-23-5,1,AP2112K-3.3,C51118
U4,Texas_PWSON-N6,1,HDC1080,C82227
U5,ESP32-C3-Supermini,1,ESP32-C3-Supermini,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-12E1,C62594
U7,DIP-4_W8.89mm_SMDSocket_LongPads,1,PC817XI,
VDC1,BarrelJack_Horizontal,1,Barrel_Jack_Switch,C720557
