Designator,Mid X,Mid Y,Rotation,Layer
C10,65.05,-37.8,0.0,top
C13,53.3,-24.1125,90.0,top
C15,37.5,-15.7375,270.0,top
C16,50.05,-71.9,180.0,top
C18,54.75,-30.1,0.0,top
C2,60.6,-9.4,270.0,top
C6,62.4,-25.5,180.0,top
C7,62.4,-33.0,180.0,top
C8,82.4,-72.85,90.0,top
C9,82.4,-77.25,90.0,top
D1,32.2,-14.95,90.0,top
D10,7.0,-64.55,270.0,top
D11,17.725,-54.2,180.0,top
D12,78.7,-9.225,270.0,top
D13,53.8,-0.9,270.0,top
D14,52.15,-35.45,270.0,top
D2,45.5,-8.35,270.0,top
D3,32.3,-25.725,270.0,top
D5,32.2,-33.35,90.0,top
D6,36.1,-28.575,90.0,top
D7,68.7,-14.2,0.0,top
D8,38.4,-22.3,90.0,top
D9,45.2,-13.175,180.0,top
F1,53.275,-10.875,0.0,top
F2,53.225,-15.675,0.0,top
J1,26.36,-2.8775,180.0,top
J3,13.305,-73.2825,180.0,top
J4,79.8,-37.04,270.0,top
K1,20.7275,-19.3,270.0,top
K2,20.8275,-37.7,270.0,top
L2,59.8,-18.9,270.0,top
L4,45.8,-17.475,180.0,top
OPTO1,3.0775,-58.98,270.0,top
PORT1,52.875,-76.05,0.0,top
PORT2,48.0,-57.54,180.0,top
PWM1,44.54,-2.9,180.0,top
Q1,38.9,-38.5375,270.0,top
Q2,40.5,-7.55,0.0,top
Q3,35.3,-38.5375,270.0,top
Q5,40.3,-27.3125,270.0,top
Q6,69.1,-7.3375,270.0,top
Q7,64.04,-0.62,0.0,top
R1,38.0,-45.1125,90.0,top
R11,7.2,-74.2125,270.0,top
R13,19.2,-74.2125,270.0,top
R16,40.2125,-32.675,180.0,top
R17,40.2125,-30.575,0.0,top
R18,42.1,-23.8875,90.0,top
R19,51.9125,-67.6,0.0,top
R2,38.9125,-42.0,0.0,top
R20,51.9125,-69.7,0.0,top
R21,42.1,-20.3875,90.0,top
R22,7.0,-59.9125,270.0,top
R23,18.7,-57.1875,90.0,top
R24,73.1125,-4.3,0.0,top
R25,73.2125,-6.4,180.0,top
R26,48.3125,-63.4,0.0,top
R27,74.4,-35.5,90.0,top
R3,33.8125,-22.7,180.0,top
R4,41.0875,-10.4,180.0,top
R5,67.9125,-23.1,0.0,top
R6,34.4,-45.1125,90.0,top
R7,35.3125,-42.0,0.0,top
R8,32.9125,-29.6,0.0,top
RL1,1.2,-19.4,90.0,top
RL2,1.1,-37.5,90.0,top
U2,66.775,-18.935,270.0,top
U3,60.8375,-38.75,180.0,top
U4,79.0,-76.25,0.0,top
U5,35.42,-66.41,180.0,top
U6,46.665,-24.05,180.0,top
U7,14.745,-62.07,0.0,top
VDC1,9.05,-3.425,270.0,top
