Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2, BT3, BT4",SW_SPST_PTS647_Sx38,4,SW_Push,C2888502
"C1, C10, C13, C15, C17, C4, C5",0805,7,10u,C162422
"C11, C7",CP_Elec_8x10.5,2,220uF,C2162971
"C12, C14, C16, C2, C3, C6, C8, C9",0805,8,100n,C49678
D2,0805,1,LED_BLUE,C965817
D3,0805,1,LED_RED,C84256
"D4, D8, D9",D_SMA,3,SS14,C2480
D5,0805,1,LED_GREEN,C84256
"D6, D7",D_SOD-123,2,1N4148W,C83528
J1,USB-C-SMD_GT-USB-7101A,1,USB_C_Receptacle_USB2.0_8P,C7469647
J2,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Conn_01x03_Socket,
"J3, J4",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,2,Conn_01x02_Socket,
L1,0805,1,22n,C108962
"PORT1, PORT2",Hirose_DF13C_CL535-0404-8-51_1x04-1MP_P1.25mm_Vertical,2,Conn_01x04_Socket,C7433470
"Q1, Q3",SOT-23_Handsoldering,2,PMOS,C42456992
Q2,SOT-23,1,2N7002K,C65189
"R1, R26, R27, R5, R8",0805,5,2.2k,C17520
"R10, R18, R19, R20, R22, R23, R24, R25, R9",0805,9,100k,C149504
R11,0805,1,330R,C17630
"R12, R13, R14, R15, R17, R3, R4",0805,7,10k,C17414
"R16, R21",0805,2,330,C17630
R2,1206,1,220mR 1W 1%,C2683384
"R6, R7",0805,2,5.1k,C27834
TF1,TF-SMD_TF-CARD-XG8P-H1.5,1,microSD tray,C7529392
TOUCH1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C382139
U2,SOT-23-5,1,AP2112K-3.3,C51118
U3,ESP32-WROOM-32U,1,ESP32-WROOM-32,C2980301
"U4, U5",MAX98357A,2,MAX98357A,C910544
