Designator,Mid X,Mid Y,Rotation,Layer
BATT1,74.5,-43.27,270.0,top
BT1,45.075,-20.455,180.0,top
BT2,37.075,-20.455,180.0,top
BT3,86.2,-44.775,270.0,top
BT4,53.075,-20.455,180.0,top
C1,75.3,-37.650001,90.0,top
C10,51.3,-44.349999,270.0,top
C11,29.8,-46.7,270.0,top
C12,17.95,-34.9,0.0,top
C13,19.950001,2.2,180.0,top
C14,19.95,-0.3,0.0,top
C15,69.15,-28.6,0.0,top
C16,69.149999,-25.9,180.0,top
C17,82.449999,-1.4,0.0,top
C2,56.65,-16.4,0.0,top
C3,33.150001,-16.4,180.0,top
C4,39.3,-44.050001,90.0,top
C5,31.1,1.949999,90.0,top
C6,33.6,1.949999,90.0,top
C7,18.3,-25.0,180.0,top
C8,89.249999,-50.2,180.0,top
C9,49.1,-44.349999,90.0,top
D2,80.375,-47.1,0.0,top
D3,80.375,-44.7,0.0,top
D4,56.1,-49.3,0.0,top
D5,26.9,-6.624999,90.0,top
D6,74.85,-50.2,0.0,top
D7,65.0,-50.4,180.0,top
D8,89.700001,-5.9,180.0,top
D9,78.7,-26.9,0.0,top
J1,91.115,-34.1,90.0,top
J2,18.46,-50.4,180.0,top
J3,0.6,-10.775,90.0,top
J4,88.6,-15.475,270.0,top
L1,31.1,-2.0625,90.0,top
PORT1,61.2,0.395,180.0,top
PORT2,72.525,0.395,180.0,top
Q1,68.0,-42.95,0.0,top
Q2,69.9625,-49.25,0.0,top
Q3,68.0,-38.9,0.0,top
R1,81.4,-41.5125,270.0,top
R10,69.2125,-46.3,0.0,top
R11,30.1875,-5.6,180.0,top
R12,55.6,-42.5125,90.0,top
R13,53.4,-42.5125,90.0,top
R14,46.9,-42.5125,90.0,top
R15,44.4,-42.5125,90.0,top
R16,38.9,-28.5,270.0,top
R17,65.6875,-48.0,180.0,top
R18,21.0,-43.4875,270.0,top
R19,21.0,-39.5875,270.0,top
R2,79.150001,-30.1,180.0,top
R20,21.0,-35.7875,270.0,top
R21,17.3,-43.4125,270.0,top
R22,23.9125,-34.9,0.0,top
R23,24.4875,2.3,0.0,top
R24,65.1875,-28.6,180.0,top
R25,74.3875,-34.0,180.0,top
R26,79.4,-2.2425,90.0,top
R27,79.4,1.4575,270.0,top
R3,31.4875,-20.9,0.0,top
R4,31.4875,-18.8,180.0,top
R5,84.0,-33.6125,90.0,top
R6,88.8,-25.3875,270.0,top
R7,86.5,-25.3875,270.0,top
R8,85.5875,-50.2,0.0,top
R9,81.6875,-50.2,0.0,top
TF1,50.3,-32.205,180.0,top
TOUCH1,91.3,-44.839999,180.0,top
U1,79.504999,-35.7085,180.0,top
U2,40.250001,-48.1625,270.0,top
U3,45.0,-6.055,0.0,top
U4,14.55,-10.645,180.0,top
U5,74.5,-15.52,0.0,top
